Artist,TrackName,Lyrics,AgeAppropriate
Ja¥en X District,SEVEN,"Seven days and seven nights Yeah, I want it Dont care how many goodbyes Yeah, I want it Way she staring at me with those eyes Yeah, I want it Yeah, I want it Come baby, I want it Seven days and seven nights Yeah, I want it Dont care how many goodbyes Yeah, I want it Way she staring at me with those eyes Yeah, I want it Yeah, I want it Come baby, I want it We got it on lockdown Lockdown, locked She want it right now Right now Told me to calm down Calm down But I cannot slow down, nah Never was around and now you wanna change Wanna change 720S McLaren switching lanes Switch lanes Only clan right now We bout to hit the stage Tryna reach your hand out Like, nah, bro, thats okay Okay, okay Baby girl, its nothing I cant do this often 20, 30, 50 racks on me, girl, like its nothing Yeah, I know you want it We can make it happen Fuck me cause she wanna feel the things, yeah, that she doesnt Seven days and seven nights Yeah, I want it Yeah Dont care how many goodbyes Yeah, I want it Way she staring at me with those eyes Yeah, I want it Yeah Yeah, I want it Come baby, I want it Yeah Seven days and seven nights Yeah, I want it Yeah Dont care how many goodbyes Yeah, I want it Yeah Way she looking at me with those eyes Yeah, I want it Yeah Yeah, I want it Come baby, I want it Drop top, breezy Drop, top, ooh They want to be me Wanna, wanna I want it all, Im greedy Yeah, I want it But I dont want it if its easy Yeah, uh Felt my heart froze, going below zero Zero I dont want nobody telling us what we know Know I aint looking into being called a hero But baby, what do we know Just tell me where do we go Cause I want it, I want it Even if theres evil in my eyes Ill say it a thousand times I want it, I want it Rather risk our fucking lives, even if its suicide Seven days and seven nights Yeah, I want it Yeah Dont care how many goodbyes Yeah, I want it Way she looking at me with those eyes Yeah, I want it Yeah Yeah, I want it Come baby, I want it Yeah Seven days and seven nights Yeah, I want it Yeah Dont care how many goodbyes Yeah, I want it Yeah Way she looking at me with those eyes Yeah, I want it Yeah Yeah, I want it Come baby, I want it Baby girl, its nothing I cant do this often 20, 30, 50 racks on me, girl, like its nothing Yeah, I know you want it We can make it happen Fuck me cause she wanna feel the things, yeah, that she doesnt Cause I want it, I want it Even if theres evil in my eyes Ill say it a thousand times I want it, I want it Rather risk our fucking lives, even if its suicide",0
Richard Cheese,Jingle Bells,"Alright stop Callaborate and listen Ice is back with my brand new invention Something grabs a hold of me tightly I flow like a harpoon daily and nightly Will it ever stop Yo I dont know Turn off the lights And Ill glow Do the extreme I rock a mic like a vandal Light up a stage and wax a chump like a candle Ice, Ice, Baby Ice, Ice, Baby Ice, Ice, Baby Take heed Cause Im a lyrical poet Miamis on the scene just in case you didnt know it Rolling, in my 5 point O With my rack top down so my hair can blow Keep my composure When its time to get loose Magnitize by the mic While I kick my juice If there was a problem, yo Ill solve it Check out the hook while Bobby revolves it Ice, Ice, Baby Vanilla Ice, Ice, Baby Ice, Ice, Baby Word to your mother",0
Ava Max,Not Your Barbie Girl,"Not your Barbie girl, Im livin in my own world I aint plastic, call me classic You cant touch me there, you cant touch my body Unless I say so, aint your Barbie, no Pull up to that dream house, god gate heels now How much do you like this Welcome to my bedroom, hallway go down Say hes got permission I can take myself on a dinner date Buy myself diamonds and a champagne Order five courses, then chocolate cake, uhhuh Actin like a care when I want a man I want a man Actin like I care, but I dont, and But I dont care I do my own thing, yeah, watch me dance, uhhuh Im my own boss, Im remindin you of it Somethin that you just cant get Words dont tempt me, tryin to break me In these heels, I aint tryin to trip, no I can take myself on a dinner date On a dinner date Buy myself diamonds and a champagne And a champagne Order five courses, then chocolate cake, uhhuh Actin like a care when I want a man When I want a man Actin like I care, but I dont, and But I dont care I do my own thing, yeah, watch me dance, uhhuh Did you forget Im real Oh, Im breathing, touch me, feel Oh, say Im your toy to play with, wanna put me in a box You aint gonna talk to me like that, you better stop Not your Barbie girl, Im livin in my own world I aint plastic Oh, no, call me classic You cant touch me there Uhhuh, you cant touch my body Unless I say so Oh, no, no, aint your Barbie, no Oh, ah yeah, oh Aint your Barbie, no Oh, oh yeah Aint your Barbie, no",1
Ariana Grande,Let Me Love You,"I just broke up with my ex Now Im out here single, I dont really know whats next But I aint even trippin, Ima chill and sit back And I know they will be comin from the right and the left Left, left I just broke up with my ex and Youre the one Im feeling as Im laying on your chest Good conversation got me holding my breath And I dont normally say this but goddamn, you the best Best, best And if it feels right, promise I dont mind Ah And if it feels right, promise Ill stay here all night Just let me looooooolove you, you Just let me looooooolove you, you Just let me looooooolove you, you Just let me looooooolove you, you As Im laying on your chest Ill be out here thinkin bout it, boy, its just a guess But something just keeps telling me Im better than the rest And I aint tryna rush you, but, goddamn, Im a mess, mess, mess I say, Girl, you need a hot boy She say, You need to stop  with them thots, boy I say You need a real , she say, Yes, Lord And what you need your ex for Im triple X, Lord Okay, Ariana my lil mama, goodbye to the good girl My ex tripping, its no Biggie, I 2Pac shook her Im laid up with my new thing She lay her head on my new chain Then the mood change, then my name change From Lil Wayne to Ooh, Wayne, oh, Lord She grinding on this Grande, oh, Lord Im drowning, Im gon need that Coast Guard And when it comes to that , I give her amnesia She just looking for love, she say she single and Im her feature Oh, my God Youre no good, boy, just let me love you, baby Just let me looooooolove you, you Tunechi, Mula, baby Just let me looooooolove you, you Boy, just let me love you, yeah, yeah, ah Just let me looooooolove you, you She just looking for love Im looking for love Just let me looooooolove you, you She just looking for love, yeah Yeah, Im looking for love, baby Just let me looooooolove you, you She just looking for love, yeah Im looking for love, baby Just let me looooooolove you, you She just looking for love, yeah Hey, yeah, yeah, yeah Shes just looking for love Mm, yeah Ima give her that love, yeah He gon gimme that love Shes just looking for love, oh Boy, Im looking for love, baby Ima give her that love Ima give her that Ima give her that",0
Jonas Brothers,Sucker,"We go together Better than birds of a feather, you and me We change the weather, yeah Im feelin heat in December when youre round me Ive been dancin on top of cars and stumblin out of bars I follow you through the dark, cant get enough Youre the medicine and the pain, the tattoo inside my brain And, baby, you know its obvious Im a sucker for you Say the word and Ill go anywhere blindly Im a sucker for you, yeah Any road you take, you know that youll find me Im a sucker for all the subliminal things No one knows about you About you, about you About you And youre makin the typical me break my typical rules Its true, Im a sucker for you Yeah Dont complicate it Yeah Cause I know you and you know everything about me I cant remember Yeah all of the nights I dont remember when youre round me Oh, yeah, yeah Yeah Uh Im a sucker for you Uh Im a sucker for you",1
Ali Dee,Mario Brothers Rap,"Oh, were the Mario Brothers And plumbings our game Were not like the others who get all the fame When your sink is in trouble you can call us on the double Were faster than the others, youll be hooked on the brothers Uh Hoohoohooked on the brothers Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yo Youre in for a treat so hang onto your seat Get ready for adventure and remarkable feats Youll meet Koopas and Troopas, the Princess and the others Hanging with the plumbers, youll get hooked on the brothers To the bridge Uh, uh I said hhhhooked on the brothers, the brothers, the brothers",1
Wheeler Walker Jr.,Eatin' Pussy/Kickin' Ass,"Friday night I just got off work My boss, man, hes such a jerk So after work I went to his house Ate his wifes pussy and kicked his ass Eatin pussy and kickin ass Eatin pussy and kickin ass Eatin pussy and kickin ass Eatin pussy and kickin ass Thats what I do That pussy taste good Monday morning I got laid off So I celebrated with some alcohol Standing in the unemployment line I see this young girls bush and said, its breakfast time Security Guard said, you cant do that here So I kicked him in the nuts before I drank a beer Girl at the counter said, do you want a job And I said, okay and then I ate her pussy Thats what I do Pussy in the mornin, sugar Pussy in the night, yeah I eat a lot of pussy And then I get into a fight Thursday night I was feeling pretty great I was walking past the honkeytonk on broadway I see this young girl, shes smilin at me So I took her back to my place and I paid her fee Took off her skirt, I knew that somethin was wrong Where theres supposed to be a pussy this girl had a dong I was bored and since Id paid anyway I sucked his dick and then I kicked his ass Suckin dick and kickin ass Suckin dick and kickin ass Suckin dick and kickin ass Suckin dick and kickin ass Eatin pussy, suckin dick and kickin ass Eatin pussy, suckin dick and kickin ass Eatin pussy, suckin dick and kickin ass Eatin pussy, suckin dick and kickin ass I dont want my name on this God dammit fuckin play motherfucker Whered everybody go God dammit",0
Kidz Bop Kids,Wellerman – Sea Shanty,"There once was a ship that put to sea The name of the ship was the Billy O Tea The winds blew up, her bow dipped down Oh, blow, my bully boys blow Shed not been two weeks from shore When down on her, a white whale boar The Captain called all hands And swore hed take that whale in tow Uh Soon may the Wellerman come To bring us sugar and tea and rum One day when the tonguing is done Well take our leave and go Take our leave and go Soon may the Wellerman come To bring us sugar and tea and rum One day when the tonguing is done Well take our leave and go Before the boat had hit the water The whales tail came up and caught her All hands to the side, harpooned and fought her When she dived down low",1
Kidz Bop Kids,Troublemaker,"Youre a troublemaker, youre a troublemaker You aint nothing but a troublemaker, girl You had me hooked again from the minute you sat down The way you smile at me got my head spinnin around After a word or two, I was putty in your hands I dont know if I have the strength to stand Ohoh Trouble troublemaker, yeah, thats your middle name Ohoh I know youre no good, but youre stuck in my brain And I wanna know Why does it feel so good, but hurt so bad Whoa, oh My mind keeps saying, run as fast as you can I say, Im done, but then you pull me back Whoa, oh I swear youre giving me a heart attack Troublemaker Its like youre always there in the corners of my mind I see you standing there every time I close my eyes There must be somethin in that pretty smile of yours Cause I keep comin back again for more Ohoh Why does it feel so good, but hurt so bad Whoa, oh My mind keeps saying, run as fast as you can I say, Im done, but then you pull me back Whoa, oh I swear youre giving me a heart attack Troublemaker Why does it feel so good, but hurt so bad Whoa, oh Hurt so bad, yeah My mind keeps saying, run as fast as you can You troublemaker I say, Im done, but then you pull me back Whoa, oh I swear youre giving me a heart attack Troublemaker Maybe Im insane Cause I keep doing the same old thing Thinking one day we gon change But you know just how to get me back And make me forget my name What it is you do, I wont remember Ill be gone until November And youll show up again next summer, yeah Typical middle name is Prada What you think Its love girl Im sick of the drama Youre a troublemaker But hey, girl, its like I love the trouble And I cant even explain why Why does it feel so good but hurt so bad Whoa, oh My mind keeps saying, run as fast as you can Troublemaker I say, Im done, but then you pull me back Whoa, oh I swear youre giving me a heart attack Troublemaker Why does it feel so good but hurt so bad And I cant even explain why My mind keeps saying, run as fast as you can Troublemaker I say, Im done, but then you pull me back Whoa, oh I swear youre giving me a heart attack Troublemaker",1
Uninvtd,Am I Ready?,"I dont know if Im ready But I hope that Im ready for love Yeah Late night calls with late night access Late night confessions Im losing my blessings All these insecurities inside of me I know Im hurting This thing aint working She tell me she love me the next day she dont She close the curtain on me I need you to feel complete I need you right now Im weak Lies on, lies that my heart provides for me I know I need where I need to be, and I know that we falling in circles I dont know if Im healing with time, but im hopin and ready I dont know if Im ready for love, but I hope that Im ready They dont love me like that I dont know if Im ready My hearts been broke like that But I hope that Im ready for love I dont know if Im ready But I hope that Im ready for love They dont love me like that I dont know if Im ready My hearts been broke like that But I hope that Im ready for love I dont know if Im ready But I hope that Im ready for love",0
