Artist,TrackName,Lyrics,AgeAppropriate
Ja¥en X District,SEVEN,"Seven days and seven nights Yeah, I want it Don’t care how many goodbyes Yeah, I want it Way she staring at me with those eyes Yeah, I want it Yeah, I want it Come baby, I want it Seven days and seven nights Yeah, I want it Don’t care how many goodbyes Yeah, I want it Way she staring at me with those eyes Yeah, I want it Yeah, I want it Come baby, I want it We got it on lockdown (Lockdown, locked) She want it right now (Right now) Told me to calm down (Calm down) But I cannot slow down, nah Never was around and now you wanna change (Wanna change) 720S McLaren switching lanes (Switch lanеs) Only clan right now We 'bout to hit the stage Tryna rеach your hand out Like, nah, bro, that’s okay (Okay, okay) Baby girl, it’s nothing I can’t do this often 20, 30, 50 racks on me, girl, like it’s nothing Yeah, I know you want it We can make it happen Fuck me 'cause she wanna feel the things, yeah, that she doesn’t Seven days and seven nights Yeah, I want it (Yeah) Don’t care how many goodbyes Yeah, I want it Way she staring at me with those eyes Yeah, I want it (Yeah) Yeah, I want it Come baby, I want it (Yeah) Seven days and seven nights Yeah, I want it (Yeah) Don’t care how many goodbyes Yeah, I want it (Yeah) Way she looking at me with those eyes Yeah, I want it (Yeah) Yeah, I want it Come baby, I want it Drop top, breezy (Drop, top, ooh) They want to be me (Wanna, wanna) I want it all, I’m greedy (Yeah, I want it) But I don’t want it if it’s easy (Yeah, uh) Felt my heart froze, going below zero (Zero) I don’t want nobody telling us what we know (Know) I ain’t looking into being called a hero But baby, what do we know? Just tell me where do we go 'Cause I want it, I want it Even if there’s evil in my eyes I’ll say it a thousand times I want it, I want it Rather risk our fucking lives, even if it’s suicide Seven days and seven nights Yeah, I want it (Yeah) Don’t care how many goodbyes Yeah, I want it Way she looking at me with those eyes Yeah, I want it (Yeah) Yeah, I want it Come baby, I want it (Yeah) Seven days and seven nights Yeah, I want it (Yeah) Don’t care how many goodbyes Yeah, I want it (Yeah) Way she looking at me with those eyes Yeah, I want it (Yeah) Yeah, I want it Come baby, I want it Baby girl, it’s nothing I can’t do this often 20, 30, 50 racks on me, girl, like it’s nothing Yeah, I know you want it We can make it happen Fuck me 'cause she wanna feel the things, yeah, that she doesn’t 'Cause I want it, I want it Even if there’s evil in my eyes I’ll say it a thousand times I want it, I want it Rather risk our fucking lives, even if it’s suicide",0
Richard Cheese,Jingle Bells,"Alright stop Callaborate and listen Ice is back with my brand new invention Something grabs a hold of me tightly I flow like a harpoon daily and nightly Will it ever stop Yo I don't know Turn off the lights And I'll glow Do the extreme I rock a mic like a vandal Light up a stage and wax a chump like a candle Ice, Ice, Baby Ice, Ice, Baby Ice, Ice, Baby Take heed Cause I'm a lyrical poet Miami's on the scene just in case you didn't know it Rolling, in my 5 point O With my rack top down so my hair can blow Keep my composure When it's time to get loose Magnitize by the mic While I kick my juice If there was a problem, yo I'll solve it Check out the hook while Bobby revolves it Ice, Ice, Baby Vanilla Ice, Ice, Baby Ice, Ice, Baby Word to your mother",0
Ava Max,Not Your Barbie Girl,"Not your Barbie girl, I'm livin' in my own world I ain't plastic, call me classic You can't touch me there, you can't touch my body Unless I say so, ain't your Barbie, no Pull up to that dream house, god gate heels now How much do you like this? Welcome to my bedroom, hallway go down Say he's got permission I can take myself on a dinner date Buy myself diamonds and a champagne Order five courses, then chocolate cake, uh-huh Actin' like a care when I want a man (I want a man) Actin' like I care, but I don't, and? (But I don't care) I do my own thing, yeah, watch me dance, uh-huh I'm my own boss, I'm remindin' you of it Somethin' that you just can't get Words don't tempt me, tryin' to break me In these heels, I ain't tryin' to trip, no I can take myself on a dinner date (On a dinner date) Buy myself diamonds and a champagne (And a champagne) Order five courses, then chocolate cake, uh-huh Actin' like a care when I want a man (When I want a man) Actin' like I care, but I don't, and? (But I don't care) I do my own thing, yeah, watch me dance, uh-huh Did you forget I'm real? Oh, I'm breathing, touch me, feel Oh, say I'm your toy to play with, wanna put me in a box You ain't gonna talk to me like that, you better stop Not your Barbie girl, I'm livin' in my own world I ain't plastic (Oh, no), call me classic You can't touch me there (Uh-huh), you can't touch my body Unless I say so (Oh, no, no), ain't your Barbie, no (Oh, ah yeah, oh) Ain't your Barbie, no (Oh, oh yeah) Ain't your Barbie, no",1
Ariana Grande,Let Me Love You,"I just broke up with my ex Now I'm out here single, I don't really know what's next But I ain't even trippin', I'ma chill and sit back And I know they will be comin' from the right and the left Left, left I just broke up with my ex and You're the one I'm feeling as I'm laying on your chest Good conversation got me holding my breath And I don't normally say this but goddamn, you the best Best, best And if it feels right, promise I don't mind (Ah) And if it feels right, promise I'll stay here all night Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you As I'm laying on your chest I'll be out here thinkin' 'bout it, boy, it's just a guess But something just keeps telling me I'm better than the rest And I ain't tryna rush you, but, goddamn, I'm a mess, mess, mess I say, ""Girl, you need a hot boy"" She say, ""You need to stop **** with them thots, boy"" I say ""You need a real ****,"" she say, ""Yes, Lord"" And what you need your ex for? I'm triple X, Lord Okay, Ariana my lil mama, goodbye to the good girl My ex tripping, it's no Biggie, I 2Pac shook her I'm laid up with my new thing She lay her head on my new chain Then the mood change, then my name change From Lil Wayne to ""Ooh, Wayne,"" oh, Lord She grinding on this Grande, oh, Lord I'm drowning, I'm gon' need that Coast Guard And when it comes to that ****, I give her amnesia She just looking for love, she say she single and I'm her feature Oh, my God (You're no good, boy, just let me love you, baby) Just let me lo-o-o-o-o-o-o-love you, you Tunechi, Mula, baby Just let me lo-o-o-o-o-o-o-love you, you (Boy, just let me love you, yeah, yeah, ah) Just let me lo-o-o-o-o-o-o-love you, you She just looking for love (I'm looking for love) Just let me lo-o-o-o-o-o-o-love you, you She just looking for love, yeah (Yeah, I'm looking for love, baby) Just let me lo-o-o-o-o-o-o-love you, you She just looking for love, yeah (I'm looking for love, baby) Just let me lo-o-o-o-o-o-o-love you, you She just looking for love, yeah (Hey, yeah, yeah, yeah) She's just looking for love (Mm, yeah) I'ma give her that love, yeah He gon' gimme that love She's just looking for love, oh Boy, I'm looking for love, baby I'ma give her that love I'ma give her that I'ma give her that",0
Jonas Brothers,Sucker,"We go together Better than birds of a feather, you and me We change the weather, yeah I'm feelin' heat in December when you're 'round me I've been dancin' on top of cars and stumblin' out of bars I follow you through the dark, can't get enough You're the medicine and the pain, the tattoo inside my brain And, baby, you know it's obvious I'm a sucker for you Say the word and I'll go anywhere blindly I'm a sucker for you, yeah Any road you take, you know that you'll find me I'm a sucker for all the subliminal things No one knows about you (About you), about you (About you) And you're makin' the typical me break my typical rules It's true, I'm a sucker for you Yeah Don't complicate it (Yeah) 'Cause I know you and you know everything about me I can't remember (Yeah) all of the nights I don't remember when you're 'round me (Oh, yeah, yeah) Yeah (Uh) (I'm a sucker for you) (Uh) I'm a sucker for you",1
Ali Dee,Mario Brothers Rap,"Oh, we're the Mario Brothers And plumbing's our game We're not like the others who get all the fame When your sink is in trouble you can call us on the double We're faster than the others, you'll be hooked on the brothers Uh Hoo-hoo-hooked on the brothers Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yo You're in for a treat so hang onto your seat Get ready for advеnture and remarkable fеats You'll meet Koopas and Troopas, the Princess and the others Hanging with the plumbers, you'll get hooked on the brothers To the bridge! Uh, uh I said h-h-h-hooked on the brothers, the brothers, the brothers—",1
Wheeler Walker Jr.,Eatin' Pussy/Kickin' Ass,"Friday night I just got off work My boss, man, he's such a jerk So after work I went to his house Ate his wife's pussy and kicked his ass Eatin' pussy and kickin' ass Eatin' pussy and kickin' ass Eatin' pussy and kickin' ass Eatin' pussy and kickin' ass That's what I do That pussy taste good Monday morning I got laid off So I celebrated with some alcohol Standing in the unemployment line I see this young girl's bush and said, ""it's breakfast time"" Security Guard said, ""you can't do that here"" So I kicked him in the nuts before I drank a beer Girl at the counter said, ""do you want a job?"" And I said, ""okay"" and then I ate her pussy That's what I do Pussy in the mornin', sugar Pussy in the night, yeah I eat a lot of pussy And then I get into a fight Thursday night I was feeling pretty great I was walking past the honkeytonk on broadway I see this young girl, she's smilin' at me So I took her back to my place and I paid her fee Took off her skirt, I knew that somethin' was wrong Where there's supposed to be a pussy this girl had a dong I was bored and since I'd paid anyway I sucked his dick and then I kicked his ass Suckin' dick and kickin' ass Suckin' dick and kickin' ass Suckin' dick and kickin' ass Suckin' dick and kickin' ass Eatin' pussy, suckin' dick and kickin' ass Eatin' pussy, suckin' dick and kickin' ass Eatin' pussy, suckin' dick and kickin' ass Eatin' pussy, suckin' dick and kickin' ass (I don't want my name on this) God dammit fuckin' play motherfucker Where'd everybody go? God dammit",0
Kidz Bop Kids,Wellerman – Sea Shanty,"There once was a ship that put to sea The name of the ship was the Billy O' Tea The winds blew up, her bow dipped down Oh, blow, my bully boys blow She'd not been two weeks from shore When down on her, a white whale boar The Captain called all hands And swore he'd take that whale in tow (Uh!) Soon may the Wellerman come To bring us sugar and tea and rum One day when the tonguing is done We'll take our leave and go Take our leave and go Soon may the Wеllerman come To bring us sugar and tea and rum Onе day when the tonguing is done We'll take our leave and go Before the boat had hit the water The whale's tail came up and caught her All hands to the side, harpooned and fought her When she dived down low",1
Kidz Bop Kids,Troublemaker,"You're a troublemaker, you're a troublemaker You ain't nothing but a troublemaker, girl You had me hooked again from the minute you sat down The way you smile at me got my head spinnin' around After a word or two, I was putty in your hands I don't know if I have the strength to stand (Oh-oh) Trouble troublemaker, yeah, that's your middle name (Oh-oh) I know you're no good, but you're stuck in my brain And I wanna know... Why does it feel so good, but hurt so bad (Whoa, oh) My mind keeps saying, ""run as fast as you can"" I say, ""I'm done,"" but then you pull me back (Whoa, oh) I swear you're giving me a heart attack Troublemaker It's like you're always there in thе corners of my mind I see you standing there еvery time I close my eyes There must be somethin' in that pretty smile of yours 'Cause I keep comin' back again for more (Oh-oh) Why does it feel so good, but hurt so bad? (Whoa, oh) My mind keeps saying, ""run as fast as you can"" I say, ""I'm done,"" but then you pull me back (Whoa, oh) I swear you're giving me a heart attack Troublemaker Why does it feel so good, but hurt so bad? (Whoa, oh) (Hurt so bad, yeah) My mind keeps saying, ""run as fast as you can"" (You troublemaker) I say, ""I'm done,"" but then you pull me back (Whoa, oh) I swear you're giving me a heart attack Troublemaker Maybe I'm insane 'Cause I keep doing the same old thing Thinking one day we gon' change But you know just how to get me back And make me forget my name What it is you do, I won't remember I'll be gone until November And you'll show up again next summer, yeah! Typical middle name is Prada What you think? It's love girl I'm sick of the drama You're a troublemaker But hey, girl, it's like I love the trouble And I can't even explain why Why does it feel so good but hurt so bad (Whoa, oh) My mind keeps saying, ""run as fast as you can"" (Troublemaker) I say, ""I'm done,"" but then you pull me back (Whoa, oh) I swear you're giving me a heart attack Troublemaker Why does it feel so good but hurt so bad (And I can't even explain why) My mind keeps saying, ""run as fast as you can"" (Troublemaker) I say, ""I'm done,"" but then you pull me back (Whoa, oh) I swear you're giving me a heart attack Troublemaker",1
Uninvtd,Am I Ready?,"I don’t know if I’m ready But I hope that I’m ready for love Yeah Late night calls with late night access Late night confessions I’m losing my blessings All these insecurities inside of me I know I’m hurting This thing ain’t working She tell me she love me the next day she don’t She close the curtain on me I need you to feel complete I need you right now I’m weak Lies on, lies that my heart provides for me I know I need where I need to be, and I know that we falling in circlеs I don’t know if I’m healing with time, but im hopin and ready I don’t know if I’m rеady for love, but I hope that I’m ready They don’t love me like that (I don’t know if I’m ready) My hearts been broke like that (But I hope that I’m ready for love) (I don’t know if I’m ready) (But I hope that I’m ready for love) They don’t love me like that (I don’t know if I’m ready) My hearts been broke like that (But I hope that I’m ready for love) (I don’t know if I’m ready) (But I hope that I’m ready for love)",0
